method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,humaneval,noisy,success_rate,0.996996996996997,0.918918918918919,0.07807807807807798,0.05105105105105105,0.10510510510510511,9.443043861301348e-07,True,,mcnemar
r2v@0.1,llm_only,humaneval,noisy,success_rate,0.996996996996997,1.0,-0.0030030030030030463,-0.012012012012012012,0.0,1.0,False,,mcnemar
r2v@0.1,entropy_router,humaneval,noisy,success_rate,0.996996996996997,0.933933933933934,0.06306306306306297,0.03903903903903904,0.09009009009009009,9.5367431640625e-07,True,,mcnemar
r2v@0.1,oracle_router,humaneval,noisy,success_rate,0.996996996996997,1.0,-0.0030030030030030463,-0.012012012012012012,0.0,1.0,False,,mcnemar
r2v@0.1,heuristic_router,humaneval,noisy,success_rate,0.996996996996997,0.984984984984985,0.012012012012011963,0.002927927927927996,0.024024024024024024,0.125,False,,mcnemar
r2v@0.1,verifier_router,humaneval,noisy,success_rate,0.996996996996997,0.978978978978979,0.018018018018017945,0.006006006006006006,0.03303303303303303,0.03125,True,,mcnemar
r2v@0.2,slm_only,humaneval,noisy,success_rate,0.9279279279279279,0.918918918918919,0.009009009009008917,0.0,0.021021021021021023,0.25,False,,mcnemar
r2v@0.2,llm_only,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.2,entropy_router,humaneval,noisy,success_rate,0.9279279279279279,0.933933933933934,-0.006006006006006093,-0.024024024024024024,0.009009009009009009,0.7265625,False,,mcnemar
r2v@0.2,oracle_router,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.2,heuristic_router,humaneval,noisy,success_rate,0.9279279279279279,0.984984984984985,-0.0570570570570571,-0.08108108108108109,-0.03303303303303303,3.814697265625e-06,True,,mcnemar
r2v@0.2,verifier_router,humaneval,noisy,success_rate,0.9279279279279279,0.978978978978979,-0.05105105105105112,-0.07507507507507508,-0.03003003003003003,1.52587890625e-05,True,,mcnemar
r2v@0.3,slm_only,humaneval,noisy,success_rate,0.9279279279279279,0.918918918918919,0.009009009009008917,0.0,0.021021021021021023,0.25,False,,mcnemar
r2v@0.3,llm_only,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.3,entropy_router,humaneval,noisy,success_rate,0.9279279279279279,0.933933933933934,-0.006006006006006093,-0.024024024024024024,0.009009009009009009,0.7265625,False,,mcnemar
r2v@0.3,oracle_router,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.3,heuristic_router,humaneval,noisy,success_rate,0.9279279279279279,0.984984984984985,-0.0570570570570571,-0.08108108108108109,-0.03303303303303303,3.814697265625e-06,True,,mcnemar
r2v@0.3,verifier_router,humaneval,noisy,success_rate,0.9279279279279279,0.978978978978979,-0.05105105105105112,-0.07507507507507508,-0.03003003003003003,1.52587890625e-05,True,,mcnemar
r2v@0.4,slm_only,humaneval,noisy,success_rate,0.9279279279279279,0.918918918918919,0.009009009009008917,0.0,0.021021021021021023,0.25,False,,mcnemar
r2v@0.4,llm_only,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.4,entropy_router,humaneval,noisy,success_rate,0.9279279279279279,0.933933933933934,-0.006006006006006093,-0.024024024024024024,0.009009009009009009,0.7265625,False,,mcnemar
r2v@0.4,oracle_router,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.4,heuristic_router,humaneval,noisy,success_rate,0.9279279279279279,0.984984984984985,-0.0570570570570571,-0.08108108108108109,-0.03303303303303303,3.814697265625e-06,True,,mcnemar
r2v@0.4,verifier_router,humaneval,noisy,success_rate,0.9279279279279279,0.978978978978979,-0.05105105105105112,-0.07507507507507508,-0.03003003003003003,1.52587890625e-05,True,,mcnemar
r2v@0.5,slm_only,humaneval,noisy,success_rate,0.9279279279279279,0.918918918918919,0.009009009009008917,0.0,0.021021021021021023,0.25,False,,mcnemar
r2v@0.5,llm_only,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.5,entropy_router,humaneval,noisy,success_rate,0.9279279279279279,0.933933933933934,-0.006006006006006093,-0.024024024024024024,0.009009009009009009,0.7265625,False,,mcnemar
r2v@0.5,oracle_router,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.5,heuristic_router,humaneval,noisy,success_rate,0.9279279279279279,0.984984984984985,-0.0570570570570571,-0.08108108108108109,-0.03303303303303303,3.814697265625e-06,True,,mcnemar
r2v@0.5,verifier_router,humaneval,noisy,success_rate,0.9279279279279279,0.978978978978979,-0.05105105105105112,-0.07507507507507508,-0.03003003003003003,1.52587890625e-05,True,,mcnemar
r2v@0.6,slm_only,humaneval,noisy,success_rate,0.9279279279279279,0.918918918918919,0.009009009009008917,0.0,0.021021021021021023,0.25,False,,mcnemar
r2v@0.6,llm_only,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.6,entropy_router,humaneval,noisy,success_rate,0.9279279279279279,0.933933933933934,-0.006006006006006093,-0.024024024024024024,0.009009009009009009,0.7265625,False,,mcnemar
r2v@0.6,oracle_router,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.6,heuristic_router,humaneval,noisy,success_rate,0.9279279279279279,0.984984984984985,-0.0570570570570571,-0.08108108108108109,-0.03303303303303303,3.814697265625e-06,True,,mcnemar
r2v@0.6,verifier_router,humaneval,noisy,success_rate,0.9279279279279279,0.978978978978979,-0.05105105105105112,-0.07507507507507508,-0.03003003003003003,1.52587890625e-05,True,,mcnemar
r2v@0.7,slm_only,humaneval,noisy,success_rate,0.9279279279279279,0.918918918918919,0.009009009009008917,0.0,0.021021021021021023,0.25,False,,mcnemar
r2v@0.7,llm_only,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.7,entropy_router,humaneval,noisy,success_rate,0.9279279279279279,0.933933933933934,-0.006006006006006093,-0.024024024024024024,0.009009009009009009,0.7265625,False,,mcnemar
r2v@0.7,oracle_router,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.7,heuristic_router,humaneval,noisy,success_rate,0.9279279279279279,0.984984984984985,-0.0570570570570571,-0.08108108108108109,-0.03303303303303303,3.814697265625e-06,True,,mcnemar
r2v@0.7,verifier_router,humaneval,noisy,success_rate,0.9279279279279279,0.978978978978979,-0.05105105105105112,-0.07507507507507508,-0.03003003003003003,1.52587890625e-05,True,,mcnemar
r2v@0.8,slm_only,humaneval,noisy,success_rate,0.9279279279279279,0.918918918918919,0.009009009009008917,0.0,0.021021021021021023,0.25,False,,mcnemar
r2v@0.8,llm_only,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.8,entropy_router,humaneval,noisy,success_rate,0.9279279279279279,0.933933933933934,-0.006006006006006093,-0.024024024024024024,0.009009009009009009,0.7265625,False,,mcnemar
r2v@0.8,oracle_router,humaneval,noisy,success_rate,0.9279279279279279,1.0,-0.07207207207207211,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.8,heuristic_router,humaneval,noisy,success_rate,0.9279279279279279,0.984984984984985,-0.0570570570570571,-0.08108108108108109,-0.03303303303303303,3.814697265625e-06,True,,mcnemar
r2v@0.8,verifier_router,humaneval,noisy,success_rate,0.9279279279279279,0.978978978978979,-0.05105105105105112,-0.07507507507507508,-0.03003003003003003,1.52587890625e-05,True,,mcnemar
