method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,humaneval,noisy,0,0.9970,"[0.991, 1.000]",0.9778,0.0222,,162.5495,,0.6731,,0.0210,0.1103
r2v@0.2,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0210,0.1103
r2v@0.3,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0210,0.1103
r2v@0.4,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0210,0.1103
r2v@0.5,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0210,0.1103
r2v@0.6,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0210,0.1103
r2v@0.7,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0210,0.1103
r2v@0.8,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0210,0.1103
slm_only,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,217.8378,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9429,"[0.916, 0.967]",0.9302,0.0698,,14.5435,,0.0097,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,36.2252,,0.0811,,,
heuristic_router,humaneval,noisy,0,0.9850,"[0.970, 0.997]",0.9535,0.0465,,57.3934,,0.2222,,,
verifier_router,humaneval,noisy,0,0.9760,"[0.958, 0.991]",0.9535,0.0465,,56.7658,,0.2471,,,
r2v@0.1,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,152.2793,,0.6012,,,
r2v@0.1,humaneval,noisy,1,1.0000,"[1.000, 1.000]",,,,128.4444,,0.5348,,,
r2v@0.1,humaneval,noisy,2,1.0000,"[1.000, 1.000]",,,,188.2791,,0.8230,,,
r2v@0.1,humaneval,noisy,3,0.9778,"[0.933, 1.000]",,,,145.1778,,0.6669,,,
r2v@0.1,humaneval,noisy,4,1.0000,"[1.000, 1.000]",,,,196.0000,,0.7591,,,
r2v@0.1,humaneval,noisy,5,1.0000,"[1.000, 1.000]",,,,173.5455,,0.7292,,,
r2v@0.2,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.2,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.2,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.2,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.2,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.2,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.3,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.3,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.3,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.3,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.3,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.3,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.4,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.4,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.4,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.4,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.4,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.4,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.5,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.5,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.5,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.5,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.5,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.5,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.6,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.6,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.6,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.6,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.6,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.6,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.7,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.7,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.7,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.7,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.7,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.7,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.8,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.8,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.8,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.8,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.8,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.8,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
slm_only,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
slm_only,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
slm_only,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
slm_only,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
slm_only,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
