method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,humaneval,noisy,success_rate,0.993993993993994,0.918918918918919,0.07507507507507505,0.04804804804804805,0.1021021021021021,1.586656303897982e-06,True,,mcnemar
r2v@0.1,llm_only,humaneval,noisy,success_rate,0.993993993993994,1.0,-0.006006006006005982,-0.015015015015015015,0.0,0.5,False,,mcnemar
r2v@0.1,entropy_router,humaneval,noisy,success_rate,0.993993993993994,0.9309309309309309,0.06306306306306309,0.036036036036036036,0.09009009009009009,5.7220458984375e-06,True,,mcnemar
r2v@0.1,oracle_router,humaneval,noisy,success_rate,0.993993993993994,1.0,-0.006006006006005982,-0.015015015015015015,0.0,0.5,False,,mcnemar
r2v@0.1,heuristic_router,humaneval,noisy,success_rate,0.993993993993994,0.990990990990991,0.0030030030030030463,-0.009009009009009009,0.018018018018018018,1.0,False,,mcnemar
r2v@0.1,verifier_router,humaneval,noisy,success_rate,0.993993993993994,0.978978978978979,0.01501501501501501,-0.003003003003003003,0.03303303303303303,0.1796875,False,,mcnemar
r2v@0.2,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.2,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.10810810810810811,-0.05405405405405406,5.623957756162312e-07,True,,mcnemar
r2v@0.2,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.9309309309309309,-0.012012012012011963,-0.024024024024024024,-0.003003003003003003,0.125,False,,mcnemar
r2v@0.2,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.10810810810810811,-0.05405405405405406,5.623957756162312e-07,True,,mcnemar
r2v@0.2,heuristic_router,humaneval,noisy,success_rate,0.918918918918919,0.990990990990991,-0.072072072072072,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.2,verifier_router,humaneval,noisy,success_rate,0.918918918918919,0.978978978978979,-0.06006006006006004,-0.08708708708708708,-0.036036036036036036,1.9073486328125e-06,True,,mcnemar
r2v@0.3,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.3,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.10810810810810811,-0.05405405405405406,5.623957756162312e-07,True,,mcnemar
r2v@0.3,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.9309309309309309,-0.012012012012011963,-0.024024024024024024,-0.003003003003003003,0.125,False,,mcnemar
r2v@0.3,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.10810810810810811,-0.05405405405405406,5.623957756162312e-07,True,,mcnemar
r2v@0.3,heuristic_router,humaneval,noisy,success_rate,0.918918918918919,0.990990990990991,-0.072072072072072,-0.0990990990990991,-0.04504504504504504,1.1920928955078125e-07,True,,mcnemar
r2v@0.3,verifier_router,humaneval,noisy,success_rate,0.918918918918919,0.978978978978979,-0.06006006006006004,-0.08708708708708708,-0.036036036036036036,1.9073486328125e-06,True,,mcnemar
r2v@0.4,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.4,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.10810810810810811,-0.05405405405405406,5.623957756162312e-07,True,,mcnemar
r2v@0.4,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.9309309309309309,-0.012012012012011963,-0.024024024024024024,-0.003003003003003003,0.125,False,,mcnemar
r2v@0.4,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.10810810810810811,-0.05405405405405406,5.623957756162312e-07,True,,mcnemar
