method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,humaneval,noisy,0,0.9940,"[0.985, 1.000]",0.9778,0.0222,,154.9039,,0.7612,,0.0538,0.1140
r2v@0.2,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0538,0.1140
r2v@0.3,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0538,0.1140
r2v@0.4,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0538,0.1140
r2v@0.5,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0538,0.1140
r2v@0.6,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0538,0.1140
r2v@0.7,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0538,0.1140
r2v@0.8,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,0.0538,0.1140
slm_only,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,217.8378,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9309,"[0.901, 0.955]",0.9167,0.0833,,12.0330,,0.0025,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,36.2252,,0.0811,,,
heuristic_router,humaneval,noisy,0,0.9910,"[0.979, 1.000]",0.9722,0.0278,,53.3423,,0.2140,,,
verifier_router,humaneval,noisy,0,0.9790,"[0.961, 0.994]",0.9535,0.0465,,57.1081,,0.2525,,,
r2v@0.1,humaneval,noisy,0,0.9910,"[0.973, 1.000]",,,,147.3153,,0.7017,,,
r2v@0.1,humaneval,noisy,1,1.0000,"[1.000, 1.000]",,,,143.7500,,0.8302,,,
r2v@0.1,humaneval,noisy,2,1.0000,"[1.000, 1.000]",,,,149.8372,,0.7508,,,
r2v@0.1,humaneval,noisy,3,0.9778,"[0.911, 1.000]",,,,148.5556,,0.7911,,,
r2v@0.1,humaneval,noisy,4,1.0000,"[1.000, 1.000]",,,,179.2093,,0.7471,,,
r2v@0.1,humaneval,noisy,5,1.0000,"[1.000, 1.000]",,,,167.6727,,0.8309,,,
r2v@0.2,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.2,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.2,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.2,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.2,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.2,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.3,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.3,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.3,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.3,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.3,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.3,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.4,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.4,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.4,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.4,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.4,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.4,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.5,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.5,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.5,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.5,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.5,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.5,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.6,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.6,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.6,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.6,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.6,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.6,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.7,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.7,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.7,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.7,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
r2v@0.7,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.7,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.8,humaneval,noisy,0,0.9189,"[0.865, 0.964]",,,,10.8919,,0.0000,,,
r2v@0.8,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.8,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.8,humaneval,noisy,3,0.9333,"[0.844, 1.000]",,,,9.6444,,0.0000,,,
