method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,textworld,noisy,success_rate,0.9970238095238095,0.6428571428571429,0.35416666666666663,0.3005952380952381,0.40476190476190477,0.0,True,,mcnemar
r2v@0.1,llm_only,textworld,noisy,success_rate,0.9970238095238095,1.0,-0.0029761904761904656,-0.008928571428571428,0.0,1.0,False,,mcnemar
r2v@0.1,entropy_router,textworld,noisy,success_rate,0.9970238095238095,0.6428571428571429,0.35416666666666663,0.3005952380952381,0.40476190476190477,0.0,True,,mcnemar
r2v@0.1,oracle_router,textworld,noisy,success_rate,0.9970238095238095,1.0,-0.0029761904761904656,-0.008928571428571428,0.0,1.0,False,,mcnemar
r2v@0.1,heuristic_router,textworld,noisy,success_rate,0.9970238095238095,0.6428571428571429,0.35416666666666663,0.3005952380952381,0.40476190476190477,0.0,True,,mcnemar
r2v@0.1,verifier_router,textworld,noisy,success_rate,0.9970238095238095,0.6428571428571429,0.35416666666666663,0.3005952380952381,0.40476190476190477,0.0,True,,mcnemar
r2v@0.2,slm_only,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.2,llm_only,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.2,entropy_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.2,oracle_router,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.2,heuristic_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.2,verifier_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.3,slm_only,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.3,llm_only,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.3,entropy_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.3,oracle_router,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.3,heuristic_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.3,verifier_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.4,slm_only,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.4,llm_only,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.4,entropy_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.4,oracle_router,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.4,heuristic_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.4,verifier_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.5,slm_only,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.5,llm_only,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.5,entropy_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
