method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,textworld,noisy,0,0.9940,"[0.985, 1.000]",0.9796,0.0204,,186.0119,,0.4125,,0.3225,0.1387
r2v@0.2,textworld,noisy,0,0.9911,"[0.979, 1.000]",0.9688,0.0312,,178.6042,,0.3482,,0.3225,0.1387
r2v@0.3,textworld,noisy,0,0.9911,"[0.979, 1.000]",0.9688,0.0312,,178.6042,,0.3482,,0.3225,0.1387
r2v@0.4,textworld,noisy,0,0.9911,"[0.979, 1.000]",0.9688,0.0312,,178.6042,,0.3482,,0.3225,0.1387
r2v@0.5,textworld,noisy,0,0.9911,"[0.979, 1.000]",0.9688,0.0312,,178.6042,,0.3482,,0.3225,0.1387
r2v@0.6,textworld,noisy,0,0.9911,"[0.979, 1.000]",0.9688,0.0312,,31.6935,,0.0412,,0.3225,0.1387
r2v@0.7,textworld,noisy,0,0.6905,"[0.643, 0.738]",0.6200,0.3800,,13.3720,,0.0022,,0.3225,0.1387
r2v@0.8,textworld,noisy,0,0.6488,"[0.598, 0.699]",0.5200,0.4800,,12.4107,,0.0002,,0.3225,0.1387
slm_only,textworld,noisy,0,0.6429,"[0.595, 0.693]",0.5000,0.5000,,12.2976,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,245.9524,,1.0000,,,
entropy_router,textworld,noisy,0,0.6429,"[0.595, 0.693]",0.5000,0.5000,,12.2976,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,179.4524,,0.3571,,,
heuristic_router,textworld,noisy,0,0.6429,"[0.595, 0.693]",0.5000,0.5000,,12.2976,,0.0000,,,
verifier_router,textworld,noisy,0,0.6429,"[0.595, 0.693]",0.5000,0.5000,,12.2976,,0.0000,,,
r2v@0.1,textworld,noisy,0,0.9912,"[0.965, 1.000]",,,,187.6283,,0.4123,,,
r2v@0.1,textworld,noisy,1,0.9796,"[0.939, 1.000]",,,,159.4082,,0.3218,,,
r2v@0.1,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,254.6600,,0.5708,,,
r2v@0.1,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,178.8750,,0.4048,,,
r2v@0.1,textworld,noisy,4,1.0000,"[1.000, 1.000]",,,,197.2812,,0.4786,,,
r2v@0.1,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,133.0682,,0.2945,,,
r2v@0.2,textworld,noisy,0,0.9912,"[0.965, 1.000]",,,,181.7434,,0.3540,,,
r2v@0.2,textworld,noisy,1,0.9796,"[0.939, 1.000]",,,,153.5918,,0.2653,,,
r2v@0.2,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,242.8800,,0.5000,,,
r2v@0.2,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,173.3333,,0.3542,,,
r2v@0.2,textworld,noisy,4,0.9688,"[0.906, 1.000]",,,,178.8750,,0.3125,,,
r2v@0.2,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,130.9091,,0.2727,,,
r2v@0.3,textworld,noisy,0,0.9912,"[0.965, 1.000]",,,,181.7434,,0.3540,,,
r2v@0.3,textworld,noisy,1,0.9796,"[0.939, 1.000]",,,,153.5918,,0.2653,,,
r2v@0.3,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,242.8800,,0.5000,,,
r2v@0.3,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,173.3333,,0.3542,,,
r2v@0.3,textworld,noisy,4,0.9688,"[0.906, 1.000]",,,,178.8750,,0.3125,,,
r2v@0.3,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,130.9091,,0.2727,,,
r2v@0.4,textworld,noisy,0,0.9912,"[0.965, 1.000]",,,,181.7434,,0.3540,,,
r2v@0.4,textworld,noisy,1,0.9796,"[0.939, 1.000]",,,,153.5918,,0.2653,,,
r2v@0.4,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,242.8800,,0.5000,,,
r2v@0.4,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,173.3333,,0.3542,,,
r2v@0.4,textworld,noisy,4,0.9688,"[0.906, 1.000]",,,,178.8750,,0.3125,,,
r2v@0.4,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,130.9091,,0.2727,,,
r2v@0.5,textworld,noisy,0,0.9912,"[0.965, 1.000]",,,,181.7434,,0.3540,,,
r2v@0.5,textworld,noisy,1,0.9796,"[0.939, 1.000]",,,,153.5918,,0.2653,,,
r2v@0.5,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,242.8800,,0.5000,,,
r2v@0.5,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,173.3333,,0.3542,,,
r2v@0.5,textworld,noisy,4,0.9688,"[0.906, 1.000]",,,,178.8750,,0.3125,,,
r2v@0.5,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,130.9091,,0.2727,,,
r2v@0.6,textworld,noisy,0,0.9912,"[0.965, 1.000]",,,,23.0177,,0.0234,,,
r2v@0.6,textworld,noisy,1,0.9796,"[0.939, 1.000]",,,,30.2857,,0.0381,,,
r2v@0.6,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,44.1400,,0.0645,,,
r2v@0.6,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,42.7083,,0.0670,,,
r2v@0.6,textworld,noisy,4,0.9688,"[0.906, 1.000]",,,,45.2812,,0.0609,,,
r2v@0.6,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,19.5000,,0.0216,,,
r2v@0.7,textworld,noisy,0,0.6372,"[0.549, 0.726]",,,,12.4248,,0.0000,,,
r2v@0.7,textworld,noisy,1,0.7755,"[0.653, 0.898]",,,,12.8367,,0.0031,,,
r2v@0.7,textworld,noisy,2,0.6200,"[0.480, 0.740]",,,,17.1600,,0.0050,,,
r2v@0.7,textworld,noisy,3,0.7500,"[0.604, 0.855]",,,,15.0000,,0.0057,,,
r2v@0.7,textworld,noisy,4,0.6562,"[0.500, 0.812]",,,,12.6250,,0.0000,,,
r2v@0.7,textworld,noisy,5,0.7727,"[0.659, 0.886]",,,,10.8636,,0.0017,,,
r2v@0.8,textworld,noisy,0,0.6372,"[0.549, 0.726]",,,,12.4248,,0.0000,,,
r2v@0.8,textworld,noisy,1,0.7347,"[0.612, 0.857]",,,,11.6735,,0.0010,,,
r2v@0.8,textworld,noisy,2,0.5200,"[0.380, 0.660]",,,,15.2600,,0.0005,,,
r2v@0.8,textworld,noisy,3,0.6458,"[0.500, 0.771]",,,,12.2292,,0.0000,,,
r2v@0.8,textworld,noisy,4,0.6562,"[0.500, 0.812]",,,,12.6250,,0.0000,,,
r2v@0.8,textworld,noisy,5,0.7273,"[0.591, 0.864]",,,,10.0000,,0.0000,,,
slm_only,textworld,noisy,0,0.6372,"[0.549, 0.726]",,,,12.4248,,0.0000,,,
slm_only,textworld,noisy,1,0.7143,"[0.592, 0.837]",,,,11.2857,,0.0000,,,
slm_only,textworld,noisy,2,0.5000,"[0.360, 0.640]",,,,14.8800,,0.0000,,,
slm_only,textworld,noisy,3,0.6458,"[0.500, 0.771]",,,,12.2292,,0.0000,,,
slm_only,textworld,noisy,4,0.6562,"[0.500, 0.812]",,,,12.6250,,0.0000,,,
slm_only,textworld,noisy,5,0.7273,"[0.591, 0.864]",,,,10.0000,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,248.4956,,1.0000,,,
llm_only,textworld,noisy,1,1.0000,"[1.000, 1.000]",,,,225.7143,,1.0000,,,
llm_only,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,297.6000,,1.0000,,,
llm_only,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,244.5833,,1.0000,,,
llm_only,textworld,noisy,4,1.0000,"[1.000, 1.000]",,,,252.5000,,1.0000,,,
llm_only,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,200.0000,,1.0000,,,
entropy_router,textworld,noisy,0,0.6372,"[0.549, 0.726]",,,,12.4248,,0.0000,,,
entropy_router,textworld,noisy,1,0.7143,"[0.592, 0.837]",,,,11.2857,,0.0000,,,
entropy_router,textworld,noisy,2,0.5000,"[0.360, 0.640]",,,,14.8800,,0.0000,,,
entropy_router,textworld,noisy,3,0.6458,"[0.500, 0.771]",,,,12.2292,,0.0000,,,
entropy_router,textworld,noisy,4,0.6562,"[0.500, 0.812]",,,,12.6250,,0.0000,,,
entropy_router,textworld,noisy,5,0.7273,"[0.591, 0.864]",,,,10.0000,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,182.5841,,0.3628,,,
oracle_router,textworld,noisy,1,1.0000,"[1.000, 1.000]",,,,155.5306,,0.2857,,,
oracle_router,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,242.8800,,0.5000,,,
oracle_router,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,173.3333,,0.3542,,,
oracle_router,textworld,noisy,4,1.0000,"[1.000, 1.000]",,,,181.8438,,0.3438,,,
oracle_router,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,130.9091,,0.2727,,,
heuristic_router,textworld,noisy,0,0.6372,"[0.549, 0.726]",,,,12.4248,,0.0000,,,
heuristic_router,textworld,noisy,1,0.7143,"[0.592, 0.837]",,,,11.2857,,0.0000,,,
heuristic_router,textworld,noisy,2,0.5000,"[0.360, 0.640]",,,,14.8800,,0.0000,,,
heuristic_router,textworld,noisy,3,0.6458,"[0.500, 0.771]",,,,12.2292,,0.0000,,,
heuristic_router,textworld,noisy,4,0.6562,"[0.500, 0.812]",,,,12.6250,,0.0000,,,
heuristic_router,textworld,noisy,5,0.7273,"[0.591, 0.864]",,,,10.0000,,0.0000,,,
verifier_router,textworld,noisy,0,0.6372,"[0.549, 0.726]",,,,12.4248,,0.0000,,,
verifier_router,textworld,noisy,1,0.7143,"[0.592, 0.837]",,,,11.2857,,0.0000,,,
verifier_router,textworld,noisy,2,0.5000,"[0.360, 0.640]",,,,14.8800,,0.0000,,,
verifier_router,textworld,noisy,3,0.6458,"[0.500, 0.771]",,,,12.2292,,0.0000,,,
verifier_router,textworld,noisy,4,0.6562,"[0.500, 0.812]",,,,12.6250,,0.0000,,,
verifier_router,textworld,noisy,5,0.7273,"[0.591, 0.864]",,,,10.0000,,0.0000,,,
