method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,192.6280,,0.4816,,0.3232,0.1369
r2v@0.2,textworld,noisy,0,0.9911,"[0.979, 1.000]",0.9688,0.0312,,178.6042,,0.3482,,0.3232,0.1369
r2v@0.3,textworld,noisy,0,0.9911,"[0.979, 1.000]",0.9688,0.0312,,178.6042,,0.3482,,0.3232,0.1369
r2v@0.4,textworld,noisy,0,0.9911,"[0.979, 1.000]",0.9688,0.0312,,178.6042,,0.3482,,0.3232,0.1369
r2v@0.5,textworld,noisy,0,0.9911,"[0.979, 1.000]",0.9688,0.0312,,178.6042,,0.3482,,0.3232,0.1369
r2v@0.6,textworld,noisy,0,0.7500,"[0.705, 0.795]",0.6200,0.3800,,14.7292,,0.0046,,0.3232,0.1369
r2v@0.7,textworld,noisy,0,0.6429,"[0.595, 0.693]",0.5000,0.5000,,12.2976,,0.0000,,0.3232,0.1369
r2v@0.8,textworld,noisy,0,0.6429,"[0.595, 0.693]",0.5000,0.5000,,12.2976,,0.0000,,0.3232,0.1369
slm_only,textworld,noisy,0,0.6429,"[0.595, 0.693]",0.5000,0.5000,,12.2976,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,245.9524,,1.0000,,,
entropy_router,textworld,noisy,0,0.6429,"[0.595, 0.693]",0.5000,0.5000,,12.2976,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,179.4524,,0.3571,,,
heuristic_router,textworld,noisy,0,0.6429,"[0.595, 0.693]",0.5000,0.5000,,12.2976,,0.0000,,,
verifier_router,textworld,noisy,0,0.6429,"[0.595, 0.693]",0.5000,0.5000,,12.2976,,0.0000,,,
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,195.8673,,0.4914,,,
r2v@0.1,textworld,noisy,1,1.0000,"[1.000, 1.000]",,,,170.2653,,0.4300,,,
r2v@0.1,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,251.6200,,0.5800,,,
r2v@0.1,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,184.8125,,0.4520,,,
r2v@0.1,textworld,noisy,4,1.0000,"[1.000, 1.000]",,,,202.6250,,0.5435,,,
r2v@0.1,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,143.4318,,0.3896,,,
r2v@0.2,textworld,noisy,0,0.9912,"[0.965, 1.000]",,,,181.7434,,0.3540,,,
r2v@0.2,textworld,noisy,1,0.9796,"[0.939, 1.000]",,,,153.5918,,0.2653,,,
r2v@0.2,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,242.8800,,0.5000,,,
r2v@0.2,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,173.3333,,0.3542,,,
r2v@0.2,textworld,noisy,4,0.9688,"[0.906, 1.000]",,,,178.8750,,0.3125,,,
r2v@0.2,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,130.9091,,0.2727,,,
r2v@0.3,textworld,noisy,0,0.9912,"[0.965, 1.000]",,,,181.7434,,0.3540,,,
r2v@0.3,textworld,noisy,1,0.9796,"[0.939, 1.000]",,,,153.5918,,0.2653,,,
r2v@0.3,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,242.8800,,0.5000,,,
r2v@0.3,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,173.3333,,0.3542,,,
r2v@0.3,textworld,noisy,4,0.9688,"[0.906, 1.000]",,,,178.8750,,0.3125,,,
r2v@0.3,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,130.9091,,0.2727,,,
r2v@0.4,textworld,noisy,0,0.9912,"[0.965, 1.000]",,,,181.7434,,0.3540,,,
r2v@0.4,textworld,noisy,1,0.9796,"[0.939, 1.000]",,,,153.5918,,0.2653,,,
r2v@0.4,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,242.8800,,0.5000,,,
r2v@0.4,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,173.3333,,0.3542,,,
r2v@0.4,textworld,noisy,4,0.9688,"[0.906, 1.000]",,,,178.8750,,0.3125,,,
r2v@0.4,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,130.9091,,0.2727,,,
r2v@0.5,textworld,noisy,0,0.9912,"[0.965, 1.000]",,,,181.7434,,0.3540,,,
r2v@0.5,textworld,noisy,1,0.9796,"[0.939, 1.000]",,,,153.5918,,0.2653,,,
r2v@0.5,textworld,noisy,2,1.0000,"[1.000, 1.000]",,,,242.8800,,0.5000,,,
r2v@0.5,textworld,noisy,3,1.0000,"[1.000, 1.000]",,,,173.3333,,0.3542,,,
r2v@0.5,textworld,noisy,4,0.9688,"[0.906, 1.000]",,,,178.8750,,0.3125,,,
r2v@0.5,textworld,noisy,5,1.0000,"[1.000, 1.000]",,,,130.9091,,0.2727,,,
r2v@0.6,textworld,noisy,0,0.7611,"[0.673, 0.832]",,,,15.2832,,0.0051,,,
r2v@0.6,textworld,noisy,1,0.8367,"[0.735, 0.939]",,,,14.3878,,0.0066,,,
r2v@0.6,textworld,noisy,2,0.6200,"[0.480, 0.760]",,,,17.1600,,0.0045,,,
r2v@0.6,textworld,noisy,3,0.6875,"[0.542, 0.812]",,,,13.0208,,0.0016,,,
r2v@0.6,textworld,noisy,4,0.9062,"[0.812, 1.000]",,,,18.5625,,0.0109,,,
r2v@0.6,textworld,noisy,5,0.7273,"[0.591, 0.864]",,,,10.0000,,0.0000,,,
r2v@0.7,textworld,noisy,0,0.6372,"[0.549, 0.726]",,,,12.4248,,0.0000,,,
r2v@0.7,textworld,noisy,1,0.7143,"[0.592, 0.837]",,,,11.2857,,0.0000,,,
