method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,humaneval,noisy,success_rate,0.9534534534534534,0.918918918918919,0.03453453453453448,0.021021021021021023,0.04804804804804805,2.384185791015625e-07,True,,mcnemar
r2v@0.1,llm_only,humaneval,noisy,success_rate,0.9534534534534534,1.0,-0.04654654654654655,-0.06306306306306306,-0.03153153153153153,7.118304168329814e-08,True,,mcnemar
r2v@0.1,entropy_router,humaneval,noisy,success_rate,0.9534534534534534,0.918918918918919,0.03453453453453448,0.021021021021021023,0.04804804804804805,2.384185791015625e-07,True,,mcnemar
r2v@0.1,oracle_router,humaneval,noisy,success_rate,0.9534534534534534,1.0,-0.04654654654654655,-0.06306306306306306,-0.03153153153153153,7.118304168329814e-08,True,,mcnemar
r2v@0.2,slm_only,humaneval,noisy,success_rate,0.9264264264264265,0.918918918918919,0.007507507507507505,0.0015015015015015015,0.015015015015015015,0.0625,False,,mcnemar
r2v@0.2,llm_only,humaneval,noisy,success_rate,0.9264264264264265,1.0,-0.07357357357357353,-0.09309309309309309,-0.05555555555555555,7.025158232920603e-12,True,,mcnemar
r2v@0.2,entropy_router,humaneval,noisy,success_rate,0.9264264264264265,0.918918918918919,0.007507507507507505,0.0015015015015015015,0.015015015015015015,0.0625,False,,mcnemar
r2v@0.2,oracle_router,humaneval,noisy,success_rate,0.9264264264264265,1.0,-0.07357357357357353,-0.09309309309309309,-0.05555555555555555,7.025158232920603e-12,True,,mcnemar
r2v@0.3,slm_only,humaneval,noisy,success_rate,0.9204204204204204,0.918918918918919,0.0015015015015014122,0.0,0.0045045045045045045,1.0,False,,mcnemar
r2v@0.3,llm_only,humaneval,noisy,success_rate,0.9204204204204204,1.0,-0.07957957957957962,-0.0991366366366366,-0.06152402402402406,9.14823772291129e-13,True,,mcnemar
r2v@0.3,entropy_router,humaneval,noisy,success_rate,0.9204204204204204,0.918918918918919,0.0015015015015014122,0.0,0.0045045045045045045,1.0,False,,mcnemar
r2v@0.3,oracle_router,humaneval,noisy,success_rate,0.9204204204204204,1.0,-0.07957957957957962,-0.0991366366366366,-0.06152402402402406,9.14823772291129e-13,True,,mcnemar
r2v@0.4,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.4,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.4,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
