method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,humaneval,noisy,0,0.9535,"[0.935, 0.968]",0.9535,0.0465,,202.0360,,0.5585,,0.0839,0.1233
r2v@0.2,humaneval,noisy,0,0.9264,"[0.905, 0.944]",0.9264,0.0736,,42.2342,,0.0429,,0.0839,0.1233
r2v@0.3,humaneval,noisy,0,0.9204,"[0.898, 0.940]",0.9204,0.0796,,26.4159,,0.0147,,0.0839,0.1233
r2v@0.4,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,20.8979,,0.0088,,0.0839,0.1233
r2v@0.5,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,16.3363,,0.0050,,0.0839,0.1233
r2v@0.6,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,12.9520,,0.0022,,0.0839,0.1233
r2v@0.7,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,11.8483,,0.0009,,0.0839,0.1233
r2v@0.8,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,11.1126,,0.0002,,0.0839,0.1233
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.0839,0.1233
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,76.2252,,0.0811,,,
r2v@0.1,humaneval,noisy,0,0.9535,"[0.935, 0.968]",,,,202.0360,,0.5585,,,
r2v@0.2,humaneval,noisy,0,0.9264,"[0.905, 0.944]",,,,42.2342,,0.0429,,,
r2v@0.3,humaneval,noisy,0,0.9204,"[0.898, 0.940]",,,,26.4159,,0.0147,,,
r2v@0.4,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,20.8979,,0.0088,,,
r2v@0.5,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,16.3363,,0.0050,,,
r2v@0.6,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,12.9520,,0.0022,,,
r2v@0.7,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,11.8483,,0.0009,,,
r2v@0.8,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,11.1126,,0.0002,,,
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,76.2252,,0.0811,,,
