method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,humaneval,noisy,success_rate,0.9864864864864865,0.918918918918919,0.06756756756756754,0.04954954954954955,0.08708708708708708,5.412159609363698e-11,True,,mcnemar
r2v@0.1,llm_only,humaneval,noisy,success_rate,0.9864864864864865,1.0,-0.013513513513513487,-0.02252252252252252,-0.0045045045045045045,0.00390625,True,,mcnemar
r2v@0.1,entropy_router,humaneval,noisy,success_rate,0.9864864864864865,0.918918918918919,0.06756756756756754,0.04954954954954955,0.08708708708708708,5.412159609363698e-11,True,,mcnemar
r2v@0.1,oracle_router,humaneval,noisy,success_rate,0.9864864864864865,1.0,-0.013513513513513487,-0.02252252252252252,-0.0045045045045045045,0.00390625,True,,mcnemar
r2v@0.2,slm_only,humaneval,noisy,success_rate,0.972972972972973,0.918918918918919,0.05405405405405406,0.03753753753753754,0.07060810810810808,5.433087424400185e-09,True,,mcnemar
r2v@0.2,llm_only,humaneval,noisy,success_rate,0.972972972972973,1.0,-0.027027027027026973,-0.03903903903903904,-0.016516516516516516,7.62939453125e-06,True,,mcnemar
r2v@0.2,entropy_router,humaneval,noisy,success_rate,0.972972972972973,0.918918918918919,0.05405405405405406,0.03753753753753754,0.07060810810810808,5.433087424400185e-09,True,,mcnemar
r2v@0.2,oracle_router,humaneval,noisy,success_rate,0.972972972972973,1.0,-0.027027027027026973,-0.03903903903903904,-0.016516516516516516,7.62939453125e-06,True,,mcnemar
r2v@0.3,slm_only,humaneval,noisy,success_rate,0.9669669669669669,0.918918918918919,0.048048048048047964,0.03303303303303303,0.06456456456456457,4.251394403187447e-08,True,,mcnemar
r2v@0.3,llm_only,humaneval,noisy,success_rate,0.9669669669669669,1.0,-0.033033033033033066,-0.046546546546546545,-0.021021021021021023,4.76837158203125e-07,True,,mcnemar
r2v@0.3,entropy_router,humaneval,noisy,success_rate,0.9669669669669669,0.918918918918919,0.048048048048047964,0.03303303303303303,0.06456456456456457,4.251394403187447e-08,True,,mcnemar
r2v@0.3,oracle_router,humaneval,noisy,success_rate,0.9669669669669669,1.0,-0.033033033033033066,-0.046546546546546545,-0.021021021021021023,4.76837158203125e-07,True,,mcnemar
r2v@0.4,slm_only,humaneval,noisy,success_rate,0.9624624624624625,0.918918918918919,0.043543543543543506,0.028528528528528527,0.05855855855855856,1.9985815080669767e-07,True,,mcnemar
r2v@0.4,llm_only,humaneval,noisy,success_rate,0.9624624624624625,1.0,-0.037537537537537524,-0.052552552552552555,-0.024024024024024024,1.586656303897982e-06,True,,mcnemar
r2v@0.4,entropy_router,humaneval,noisy,success_rate,0.9624624624624625,0.918918918918919,0.043543543543543506,0.028528528528528527,0.05855855855855856,1.9985815080669767e-07,True,,mcnemar
r2v@0.4,oracle_router,humaneval,noisy,success_rate,0.9624624624624625,1.0,-0.037537537537537524,-0.052552552552552555,-0.024024024024024024,1.586656303897982e-06,True,,mcnemar
r2v@0.5,slm_only,humaneval,noisy,success_rate,0.9579579579579579,0.918918918918919,0.039039039039038936,0.025525525525525526,0.05405405405405406,9.443043861301348e-07,True,,mcnemar
r2v@0.5,llm_only,humaneval,noisy,success_rate,0.9579579579579579,1.0,-0.042042042042042094,-0.057057057057057055,-0.028528528528528527,3.3515963071550914e-07,True,,mcnemar
r2v@0.5,entropy_router,humaneval,noisy,success_rate,0.9579579579579579,0.918918918918919,0.039039039039038936,0.025525525525525526,0.05405405405405406,9.443043861301348e-07,True,,mcnemar
r2v@0.5,oracle_router,humaneval,noisy,success_rate,0.9579579579579579,1.0,-0.042042042042042094,-0.057057057057057055,-0.028528528528528527,3.3515963071550914e-07,True,,mcnemar
r2v@0.6,slm_only,humaneval,noisy,success_rate,0.9414414414414415,0.918918918918919,0.022522522522522515,0.012012012012012012,0.03453453453453453,6.103515625e-05,True,,mcnemar
