method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,humaneval,noisy,0,0.9865,"[0.977, 0.994]",0.9865,0.0135,,254.5676,,0.4209,,0.0389,0.1042
r2v@0.2,humaneval,noisy,0,0.9730,"[0.959, 0.985]",0.9730,0.0270,,77.3288,,0.0743,,0.0389,0.1042
r2v@0.3,humaneval,noisy,0,0.9670,"[0.953, 0.980]",0.9670,0.0330,,50.0330,,0.0421,,0.0389,0.1042
r2v@0.4,humaneval,noisy,0,0.9625,"[0.949, 0.976]",0.9625,0.0375,,33.6261,,0.0251,,0.0389,0.1042
r2v@0.5,humaneval,noisy,0,0.9580,"[0.943, 0.973]",0.9580,0.0420,,24.0616,,0.0146,,0.0389,0.1042
r2v@0.6,humaneval,noisy,0,0.9414,"[0.923, 0.958]",0.9414,0.0586,,16.5571,,0.0060,,0.0389,0.1042
r2v@0.7,humaneval,noisy,0,0.9234,"[0.902, 0.943]",0.9234,0.0766,,13.1727,,0.0023,,0.0389,0.1042
r2v@0.8,humaneval,noisy,0,0.9219,"[0.901, 0.941]",0.9219,0.0781,,11.7012,,0.0007,,0.0389,0.1042
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.0389,0.1042
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,11.4805,,0.0004,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,76.2252,,0.0811,,,
r2v@0.1,humaneval,noisy,0,0.9865,"[0.977, 0.994]",,,,254.5676,,0.4209,,,
r2v@0.2,humaneval,noisy,0,0.9730,"[0.959, 0.985]",,,,77.3288,,0.0743,,,
r2v@0.3,humaneval,noisy,0,0.9670,"[0.953, 0.980]",,,,50.0330,,0.0421,,,
r2v@0.4,humaneval,noisy,0,0.9625,"[0.949, 0.976]",,,,33.6261,,0.0251,,,
r2v@0.5,humaneval,noisy,0,0.9580,"[0.943, 0.973]",,,,24.0616,,0.0146,,,
r2v@0.6,humaneval,noisy,0,0.9414,"[0.923, 0.958]",,,,16.5571,,0.0060,,,
r2v@0.7,humaneval,noisy,0,0.9234,"[0.902, 0.943]",,,,13.1727,,0.0023,,,
r2v@0.8,humaneval,noisy,0,0.9219,"[0.901, 0.941]",,,,11.7012,,0.0007,,,
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,11.4805,,0.0004,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,76.2252,,0.0811,,,
