method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,humaneval,noisy,success_rate,0.9834834834834835,0.918918918918919,0.0645645645645645,0.046546546546546545,0.08262012012012009,1.5042855849856096e-10,True,,mcnemar
r2v@0.1,llm_only,humaneval,noisy,success_rate,0.9834834834834835,1.0,-0.016516516516516533,-0.025525525525525526,-0.0075075075075075074,0.0009765625,True,,mcnemar
r2v@0.1,entropy_router,humaneval,noisy,success_rate,0.9834834834834835,0.918918918918919,0.0645645645645645,0.046546546546546545,0.08262012012012009,1.5042855849856096e-10,True,,mcnemar
r2v@0.1,oracle_router,humaneval,noisy,success_rate,0.9834834834834835,1.0,-0.016516516516516533,-0.025525525525525526,-0.0075075075075075074,0.0009765625,True,,mcnemar
r2v@0.2,slm_only,humaneval,noisy,success_rate,0.9654654654654654,0.918918918918919,0.04654654654654644,0.03003003003003003,0.06159909909909907,7.118304168329814e-08,True,,mcnemar
r2v@0.2,llm_only,humaneval,noisy,success_rate,0.9654654654654654,1.0,-0.03453453453453459,-0.04658408408408405,-0.022484984984985017,2.384185791015625e-07,True,,mcnemar
r2v@0.2,entropy_router,humaneval,noisy,success_rate,0.9654654654654654,0.918918918918919,0.04654654654654644,0.03003003003003003,0.06159909909909907,7.118304168329814e-08,True,,mcnemar
r2v@0.2,oracle_router,humaneval,noisy,success_rate,0.9654654654654654,1.0,-0.03453453453453459,-0.04658408408408405,-0.022484984984985017,2.384185791015625e-07,True,,mcnemar
r2v@0.3,slm_only,humaneval,noisy,success_rate,0.9519519519519519,0.918918918918919,0.033033033033032955,0.020983483483483518,0.04658408408408405,4.76837158203125e-07,True,,mcnemar
r2v@0.3,llm_only,humaneval,noisy,success_rate,0.9519519519519519,1.0,-0.048048048048048075,-0.06306306306306306,-0.03453453453453453,4.251394403187447e-08,True,,mcnemar
r2v@0.3,entropy_router,humaneval,noisy,success_rate,0.9519519519519519,0.918918918918919,0.033033033033032955,0.020983483483483518,0.04658408408408405,4.76837158203125e-07,True,,mcnemar
r2v@0.3,oracle_router,humaneval,noisy,success_rate,0.9519519519519519,1.0,-0.048048048048048075,-0.06306306306306306,-0.03453453453453453,4.251394403187447e-08,True,,mcnemar
r2v@0.4,slm_only,humaneval,noisy,success_rate,0.9444444444444444,0.918918918918919,0.02552552552552545,0.013513513513513514,0.03757507507507504,1.52587890625e-05,True,,mcnemar
r2v@0.4,llm_only,humaneval,noisy,success_rate,0.9444444444444444,1.0,-0.05555555555555558,-0.07207207207207207,-0.04054054054054054,3.251606206511326e-09,True,,mcnemar
r2v@0.4,entropy_router,humaneval,noisy,success_rate,0.9444444444444444,0.918918918918919,0.02552552552552545,0.013513513513513514,0.03757507507507504,1.52587890625e-05,True,,mcnemar
r2v@0.4,oracle_router,humaneval,noisy,success_rate,0.9444444444444444,1.0,-0.05555555555555558,-0.07207207207207207,-0.04054054054054054,3.251606206511326e-09,True,,mcnemar
r2v@0.5,slm_only,humaneval,noisy,success_rate,0.9309309309309309,0.918918918918919,0.012012012012011963,0.0045045045045045045,0.021021021021021023,0.0078125,True,,mcnemar
r2v@0.5,llm_only,humaneval,noisy,success_rate,0.9309309309309309,1.0,-0.06906906906906907,-0.08708708708708708,-0.05105105105105105,3.247491164870553e-11,True,,mcnemar
r2v@0.5,entropy_router,humaneval,noisy,success_rate,0.9309309309309309,0.918918918918919,0.012012012012011963,0.0045045045045045045,0.021021021021021023,0.0078125,True,,mcnemar
r2v@0.5,oracle_router,humaneval,noisy,success_rate,0.9309309309309309,1.0,-0.06906906906906907,-0.08708708708708708,-0.05105105105105105,3.247491164870553e-11,True,,mcnemar
r2v@0.6,slm_only,humaneval,noisy,success_rate,0.924924924924925,0.918918918918919,0.006006006006005982,0.0015015015015015015,0.012012012012012012,0.125,False,,mcnemar
r2v@0.6,llm_only,humaneval,noisy,success_rate,0.924924924924925,1.0,-0.07507507507507505,-0.0945945945945946,-0.057057057057057055,4.218958515878057e-12,True,,mcnemar
r2v@0.6,entropy_router,humaneval,noisy,success_rate,0.924924924924925,0.918918918918919,0.006006006006005982,0.0015015015015015015,0.012012012012012012,0.125,False,,mcnemar
r2v@0.6,oracle_router,humaneval,noisy,success_rate,0.924924924924925,1.0,-0.07507507507507505,-0.0945945945945946,-0.057057057057057055,4.218958515878057e-12,True,,mcnemar
r2v@0.7,slm_only,humaneval,noisy,success_rate,0.9219219219219219,0.918918918918919,0.0030030030030029353,0.0,0.0075075075075075074,0.5,False,,mcnemar
r2v@0.7,llm_only,humaneval,noisy,success_rate,0.9219219219219219,1.0,-0.0780780780780781,-0.09759759759759759,-0.06006006006006006,1.5224488336684772e-12,True,,mcnemar
r2v@0.7,entropy_router,humaneval,noisy,success_rate,0.9219219219219219,0.918918918918919,0.0030030030030029353,0.0,0.0075075075075075074,0.5,False,,mcnemar
r2v@0.7,oracle_router,humaneval,noisy,success_rate,0.9219219219219219,1.0,-0.0780780780780781,-0.09759759759759759,-0.06006006006006006,1.5224488336684772e-12,True,,mcnemar
r2v@0.8,slm_only,humaneval,noisy,success_rate,0.9204204204204204,0.918918918918919,0.0015015015015014122,0.0,0.0045045045045045045,1.0,False,,mcnemar
r2v@0.8,llm_only,humaneval,noisy,success_rate,0.9204204204204204,1.0,-0.07957957957957962,-0.0991366366366366,-0.06152402402402406,9.14823772291129e-13,True,,mcnemar
r2v@0.8,entropy_router,humaneval,noisy,success_rate,0.9204204204204204,0.918918918918919,0.0015015015015014122,0.0,0.0045045045045045045,1.0,False,,mcnemar
r2v@0.8,oracle_router,humaneval,noisy,success_rate,0.9204204204204204,1.0,-0.07957957957957962,-0.0991366366366366,-0.06152402402402406,9.14823772291129e-13,True,,mcnemar
r2v@0.9,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.9,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.9,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.9,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
