method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,humaneval,noisy,0,0.9535,"[0.935, 0.968]",0.9535,0.0465,,210.5706,,0.5665,,0.0890,0.1189
r2v@0.2,humaneval,noisy,0,0.9429,"[0.925, 0.959]",0.9429,0.0571,,36.7162,,0.0472,,0.0890,0.1189
r2v@0.3,humaneval,noisy,0,0.9324,"[0.911, 0.950]",0.9324,0.0676,,22.1486,,0.0150,,0.0890,0.1189
r2v@0.4,humaneval,noisy,0,0.9279,"[0.907, 0.946]",0.9279,0.0721,,17.1456,,0.0075,,0.0890,0.1189
r2v@0.5,humaneval,noisy,0,0.9219,"[0.899, 0.941]",0.9219,0.0781,,13.9820,,0.0036,,0.0890,0.1189
r2v@0.6,humaneval,noisy,0,0.9204,"[0.898, 0.940]",0.9204,0.0796,,11.8483,,0.0008,,0.0890,0.1189
r2v@0.7,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,11.1126,,0.0003,,0.0890,0.1189
r2v@0.8,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,11.0390,,0.0001,,0.0890,0.1189
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.0890,0.1189
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9595,"[0.944, 0.973]",0.9595,0.0405,,32.3018,,0.0301,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,76.2252,,0.0811,,,
r2v@0.1,humaneval,noisy,0,0.9535,"[0.935, 0.968]",,,,210.5706,,0.5665,,,
r2v@0.2,humaneval,noisy,0,0.9429,"[0.925, 0.959]",,,,36.7162,,0.0472,,,
r2v@0.3,humaneval,noisy,0,0.9324,"[0.911, 0.950]",,,,22.1486,,0.0150,,,
r2v@0.4,humaneval,noisy,0,0.9279,"[0.907, 0.946]",,,,17.1456,,0.0075,,,
r2v@0.5,humaneval,noisy,0,0.9219,"[0.899, 0.941]",,,,13.9820,,0.0036,,,
r2v@0.6,humaneval,noisy,0,0.9204,"[0.898, 0.940]",,,,11.8483,,0.0008,,,
r2v@0.7,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,11.1126,,0.0003,,,
r2v@0.8,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,11.0390,,0.0001,,,
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9595,"[0.944, 0.973]",,,,32.3018,,0.0301,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,76.2252,,0.0811,,,
