method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v,textworld,noisy,0,0.9344,"[0.913, 0.952]",0.9344,0.0656,,723.3115,,0.3893,,0.3281,0.3938
slm_only,textworld,noisy,0,0.6311,"[0.593, 0.669]",0.6311,0.3689,,26.1459,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,1307.2951,,1.0000,,,
entropy_router,textworld,noisy,0,0.8721,"[0.846, 0.897]",0.8721,0.1279,,223.0295,,0.1599,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,520.9656,,0.3689,,,
heuristic_router,textworld,noisy,0,0.9361,"[0.915, 0.956]",0.9361,0.0639,,652.4623,,0.3966,,,
r2v,textworld,noisy,0,0.9344,"[0.913, 0.952]",,,,723.3115,,0.3893,,,
slm_only,textworld,noisy,0,0.6311,"[0.593, 0.669]",,,,26.1459,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,1307.2951,,1.0000,,,
entropy_router,textworld,noisy,0,0.8721,"[0.846, 0.897]",,,,223.0295,,0.1599,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,520.9656,,0.3689,,,
heuristic_router,textworld,noisy,0,0.9361,"[0.915, 0.956]",,,,652.4623,,0.3966,,,
