method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,textworld,noisy,success_rate,0.9983606557377049,0.6311475409836066,0.36721311475409835,0.33114754098360655,0.40327868852459015,0.0,True,,mcnemar
r2v@0.1,llm_only,textworld,noisy,success_rate,0.9983606557377049,1.0,-0.0016393442622950616,-0.004918032786885246,0.0,1.0,False,,mcnemar
r2v@0.1,entropy_router,textworld,noisy,success_rate,0.9983606557377049,0.8721311475409836,0.1262295081967213,0.10163934426229508,0.1540983606557377,0.0,True,,mcnemar
r2v@0.1,oracle_router,textworld,noisy,success_rate,0.9983606557377049,1.0,-0.0016393442622950616,-0.004918032786885246,0.0,1.0,False,,mcnemar
r2v@0.2,slm_only,textworld,noisy,success_rate,0.980327868852459,0.6311475409836066,0.34918032786885245,0.31311475409836065,0.38524590163934425,0.0,True,,mcnemar
r2v@0.2,llm_only,textworld,noisy,success_rate,0.980327868852459,1.0,-0.01967213114754096,-0.03114754098360656,-0.009836065573770493,0.00048828125,True,,mcnemar
r2v@0.2,entropy_router,textworld,noisy,success_rate,0.980327868852459,0.8721311475409836,0.1081967213114754,0.08524590163934426,0.1311885245901639,1.2212453270876722e-15,True,,mcnemar
r2v@0.2,oracle_router,textworld,noisy,success_rate,0.980327868852459,1.0,-0.01967213114754096,-0.03114754098360656,-0.009836065573770493,0.00048828125,True,,mcnemar
r2v@0.3,slm_only,textworld,noisy,success_rate,0.9639344262295082,0.6311475409836066,0.3327868852459016,0.2967213114754098,0.36721311475409835,0.0,True,,mcnemar
r2v@0.3,llm_only,textworld,noisy,success_rate,0.9639344262295082,1.0,-0.0360655737704918,-0.05081967213114754,-0.021311475409836064,4.76837158203125e-07,True,,mcnemar
r2v@0.3,entropy_router,textworld,noisy,success_rate,0.9639344262295082,0.8721311475409836,0.09180327868852456,0.06885245901639345,0.11475409836065574,1.9872992140790302e-13,True,,mcnemar
r2v@0.3,oracle_router,textworld,noisy,success_rate,0.9639344262295082,1.0,-0.0360655737704918,-0.05081967213114754,-0.021311475409836064,4.76837158203125e-07,True,,mcnemar
r2v@0.4,slm_only,textworld,noisy,success_rate,0.9524590163934427,0.6311475409836066,0.32131147540983607,0.28688524590163933,0.3557377049180328,0.0,True,,mcnemar
r2v@0.4,llm_only,textworld,noisy,success_rate,0.9524590163934427,1.0,-0.04754098360655734,-0.06393442622950819,-0.03114754098360656,1.9985815080669767e-07,True,,mcnemar
r2v@0.4,entropy_router,textworld,noisy,success_rate,0.9524590163934427,0.8721311475409836,0.08032786885245902,0.060614754098360694,0.10163934426229508,7.025158232920603e-12,True,,mcnemar
r2v@0.4,oracle_router,textworld,noisy,success_rate,0.9524590163934427,1.0,-0.04754098360655734,-0.06393442622950819,-0.03114754098360656,1.9985815080669767e-07,True,,mcnemar
r2v@0.5,slm_only,textworld,noisy,success_rate,0.9344262295081968,0.6311475409836066,0.30327868852459017,0.2688114754098361,0.3377049180327869,0.0,True,,mcnemar
r2v@0.5,llm_only,textworld,noisy,success_rate,0.9344262295081968,1.0,-0.06557377049180324,-0.08688524590163935,-0.04590163934426229,6.984393063902417e-10,True,,mcnemar
r2v@0.5,entropy_router,textworld,noisy,success_rate,0.9344262295081968,0.8721311475409836,0.06229508196721312,0.04426229508196721,0.08036885245901636,1.946706018607358e-09,True,,mcnemar
r2v@0.5,oracle_router,textworld,noisy,success_rate,0.9344262295081968,1.0,-0.06557377049180324,-0.08688524590163935,-0.04590163934426229,6.984393063902417e-10,True,,mcnemar
r2v@0.6,slm_only,textworld,noisy,success_rate,0.9180327868852459,0.6311475409836066,0.28688524590163933,0.25245901639344265,0.3180327868852459,0.0,True,,mcnemar
r2v@0.6,llm_only,textworld,noisy,success_rate,0.9180327868852459,1.0,-0.08196721311475408,-0.10331967213114751,-0.06229508196721312,4.218958515878057e-12,True,,mcnemar
r2v@0.6,entropy_router,textworld,noisy,success_rate,0.9180327868852459,0.8721311475409836,0.04590163934426228,0.029508196721311476,0.06229508196721312,1.8152814273975082e-06,True,,mcnemar
r2v@0.6,oracle_router,textworld,noisy,success_rate,0.9180327868852459,1.0,-0.08196721311475408,-0.10331967213114751,-0.06229508196721312,4.218958515878057e-12,True,,mcnemar
r2v@0.7,slm_only,textworld,noisy,success_rate,0.9098360655737705,0.6311475409836066,0.2786885245901639,0.2442622950819672,0.30983606557377047,0.0,True,,mcnemar
r2v@0.7,llm_only,textworld,noisy,success_rate,0.9098360655737705,1.0,-0.0901639344262295,-0.11311475409836065,-0.06885245901639345,3.305133944309091e-13,True,,mcnemar
r2v@0.7,entropy_router,textworld,noisy,success_rate,0.9098360655737705,0.8721311475409836,0.03770491803278686,0.019672131147540985,0.05573770491803279,7.772240795322904e-05,True,,mcnemar
r2v@0.7,oracle_router,textworld,noisy,success_rate,0.9098360655737705,1.0,-0.0901639344262295,-0.11311475409836065,-0.06885245901639345,3.305133944309091e-13,True,,mcnemar
r2v@0.8,slm_only,textworld,noisy,success_rate,0.8950819672131147,0.6311475409836066,0.26393442622950813,0.23110655737704924,0.2967213114754098,0.0,True,,mcnemar
r2v@0.8,llm_only,textworld,noisy,success_rate,0.8950819672131147,1.0,-0.10491803278688527,-0.1295491803278688,-0.08196721311475409,3.4416913763379853e-15,True,,mcnemar
r2v@0.8,entropy_router,textworld,noisy,success_rate,0.8950819672131147,0.8721311475409836,0.022950819672131084,0.006557377049180328,0.03934426229508197,0.017622090962324366,True,,mcnemar
r2v@0.8,oracle_router,textworld,noisy,success_rate,0.8950819672131147,1.0,-0.10491803278688527,-0.1295491803278688,-0.08196721311475409,3.4416913763379853e-15,True,,mcnemar
r2v@0.9,slm_only,textworld,noisy,success_rate,0.840983606557377,0.6311475409836066,0.20983606557377044,0.17868852459016393,0.23934426229508196,0.0,True,,mcnemar
r2v@0.9,llm_only,textworld,noisy,success_rate,0.840983606557377,1.0,-0.15901639344262297,-0.1885245901639344,-0.12950819672131147,0.0,True,,mcnemar
r2v@0.9,entropy_router,textworld,noisy,success_rate,0.840983606557377,0.8721311475409836,-0.031147540983606614,-0.05081967213114754,-0.011475409836065573,0.0023457869795667774,True,,mcnemar
r2v@0.9,oracle_router,textworld,noisy,success_rate,0.840983606557377,1.0,-0.15901639344262297,-0.1885245901639344,-0.12950819672131147,0.0,True,,mcnemar
