method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,930.1257,,0.9222,,0.8061,0.7496
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,893.1405,,0.8228,,0.8061,0.7496
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,866.2461,,0.7576,,0.8061,0.7496
r2v@0.4,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,839.3944,,0.6955,,0.8061,0.7496
r2v@0.5,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,817.0750,,0.6503,,0.8061,0.7496
r2v@0.6,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,790.3089,,0.6031,,0.8061,0.7496
r2v@0.7,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,758.6684,,0.5521,,0.8061,0.7496
r2v@0.8,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,714.6710,,0.4889,,0.8061,0.7496
r2v@0.9,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,629.3700,,0.3837,,0.8061,0.7496
slm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,19.1361,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,956.8063,,1.0000,,,
entropy_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,19.7775,,0.0008,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,19.1361,,0.0000,,,
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,930.1257,,0.9222,,,
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,893.1405,,0.8228,,,
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,866.2461,,0.7576,,,
r2v@0.4,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,839.3944,,0.6955,,,
r2v@0.5,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,817.0750,,0.6503,,,
r2v@0.6,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,790.3089,,0.6031,,,
r2v@0.7,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,758.6684,,0.5521,,,
r2v@0.8,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,714.6710,,0.4889,,,
r2v@0.9,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,629.3700,,0.3837,,,
slm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,19.1361,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,956.8063,,1.0000,,,
entropy_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,19.7775,,0.0008,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,19.1361,,0.0000,,,
