method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,686.9958,,0.9732,,0.7649,0.6601
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,665.7076,,0.9234,,0.7649,0.6601
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,636.9252,,0.8447,,0.7649,0.6601
r2v@0.4,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,602.4605,,0.7556,,0.7649,0.6601
r2v@0.5,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,569.1487,,0.6722,,0.7649,0.6601
r2v@0.6,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,520.8076,,0.5530,,0.7649,0.6601
r2v@0.7,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,478.1487,,0.4786,,0.7649,0.6601
r2v@0.8,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,433.2252,,0.4083,,0.7649,0.6601
r2v@0.9,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,350.6664,,0.2951,,0.7649,0.6601
slm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,13.9252,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,696.2605,,1.0000,,,
entropy_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,13.9252,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,13.9252,,0.0000,,,
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,686.9958,,0.9732,,,
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,665.7076,,0.9234,,,
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,636.9252,,0.8447,,,
r2v@0.4,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,602.4605,,0.7556,,,
r2v@0.5,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,569.1487,,0.6722,,,
r2v@0.6,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,520.8076,,0.5530,,,
r2v@0.7,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,478.1487,,0.4786,,,
r2v@0.8,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,433.2252,,0.4083,,,
r2v@0.9,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,350.6664,,0.2951,,,
slm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,13.9252,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,696.2605,,1.0000,,,
entropy_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,13.9252,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,13.9252,,0.0000,,,
