method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v,textworld,noisy,0,0.8180,"[0.785, 0.849]",0.8180,0.1820,,439.3525,,0.1318,,0.1834,0.2696
slm_only,textworld,noisy,0,0.6311,"[0.593, 0.669]",0.6311,0.3689,,26.1459,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,1307.2951,,1.0000,,,
entropy_router,textworld,noisy,0,0.6443,"[0.608, 0.680]",0.6443,0.3557,,34.9016,,0.0036,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,520.9656,,0.3689,,,
heuristic_router,textworld,noisy,0,0.8836,"[0.857, 0.910]",0.8836,0.1164,,601.2131,,0.3842,,,
r2v,textworld,noisy,0,0.8180,"[0.785, 0.849]",,,,439.3525,,0.1318,,,
slm_only,textworld,noisy,0,0.6311,"[0.593, 0.669]",,,,26.1459,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,1307.2951,,1.0000,,,
entropy_router,textworld,noisy,0,0.6443,"[0.608, 0.680]",,,,34.9016,,0.0036,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,520.9656,,0.3689,,,
heuristic_router,textworld,noisy,0,0.8836,"[0.857, 0.910]",,,,601.2131,,0.3842,,,
