method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,textworld,noisy,success_rate,0.9868852459016394,0.6311475409836066,0.3557377049180328,0.319672131147541,0.39344262295081966,0.0,True,,mcnemar
r2v@0.1,llm_only,textworld,noisy,success_rate,0.9868852459016394,1.0,-0.013114754098360604,-0.022950819672131147,-0.004918032786885246,0.0078125,True,,mcnemar
r2v@0.1,entropy_router,textworld,noisy,success_rate,0.9868852459016394,0.6442622950819672,0.3426229508196722,0.306516393442623,0.37868852459016394,0.0,True,,mcnemar
r2v@0.1,oracle_router,textworld,noisy,success_rate,0.9868852459016394,1.0,-0.013114754098360604,-0.022950819672131147,-0.004918032786885246,0.0078125,True,,mcnemar
r2v@0.2,slm_only,textworld,noisy,success_rate,0.9032786885245901,0.6311475409836066,0.27213114754098355,0.23770491803278687,0.30491803278688523,0.0,True,,mcnemar
r2v@0.2,llm_only,textworld,noisy,success_rate,0.9032786885245901,1.0,-0.09672131147540985,-0.11967213114754098,-0.07377049180327869,4.318767565791859e-14,True,,mcnemar
r2v@0.2,entropy_router,textworld,noisy,success_rate,0.9032786885245901,0.6442622950819672,0.25901639344262295,0.22618852459016398,0.2901639344262295,0.0,True,,mcnemar
r2v@0.2,oracle_router,textworld,noisy,success_rate,0.9032786885245901,1.0,-0.09672131147540985,-0.11967213114754098,-0.07377049180327869,4.318767565791859e-14,True,,mcnemar
r2v@0.3,slm_only,textworld,noisy,success_rate,0.8622950819672132,0.6311475409836066,0.23114754098360657,0.2,0.26229508196721313,0.0,True,,mcnemar
r2v@0.3,llm_only,textworld,noisy,success_rate,0.8622950819672132,1.0,-0.13770491803278684,-0.1656147540983606,-0.10979508196721315,0.0,True,,mcnemar
r2v@0.3,entropy_router,textworld,noisy,success_rate,0.8622950819672132,0.6442622950819672,0.21803278688524597,0.18688524590163935,0.25081967213114753,0.0,True,,mcnemar
r2v@0.3,oracle_router,textworld,noisy,success_rate,0.8622950819672132,1.0,-0.13770491803278684,-0.1656147540983606,-0.10979508196721315,0.0,True,,mcnemar
r2v@0.4,slm_only,textworld,noisy,success_rate,0.8327868852459016,0.6311475409836066,0.20163934426229502,0.17049180327868851,0.23278688524590163,0.0,True,,mcnemar
r2v@0.4,llm_only,textworld,noisy,success_rate,0.8327868852459016,1.0,-0.1672131147540984,-0.2,-0.1377049180327869,0.0,True,,mcnemar
r2v@0.4,entropy_router,textworld,noisy,success_rate,0.8327868852459016,0.6442622950819672,0.1885245901639344,0.15901639344262294,0.2180327868852459,0.0,True,,mcnemar
r2v@0.4,oracle_router,textworld,noisy,success_rate,0.8327868852459016,1.0,-0.1672131147540984,-0.2,-0.1377049180327869,0.0,True,,mcnemar
r2v@0.5,slm_only,textworld,noisy,success_rate,0.8180327868852459,0.6311475409836066,0.18688524590163935,0.1557377049180328,0.21475409836065573,0.0,True,,mcnemar
r2v@0.5,llm_only,textworld,noisy,success_rate,0.8180327868852459,1.0,-0.18196721311475406,-0.21311475409836064,-0.1524180327868853,0.0,True,,mcnemar
r2v@0.5,entropy_router,textworld,noisy,success_rate,0.8180327868852459,0.6442622950819672,0.17377049180327875,0.14426229508196722,0.20163934426229507,0.0,True,,mcnemar
r2v@0.5,oracle_router,textworld,noisy,success_rate,0.8180327868852459,1.0,-0.18196721311475406,-0.21311475409836064,-0.1524180327868853,0.0,True,,mcnemar
r2v@0.6,slm_only,textworld,noisy,success_rate,0.7950819672131147,0.6311475409836066,0.16393442622950816,0.13602459016393448,0.19344262295081968,0.0,True,,mcnemar
r2v@0.6,llm_only,textworld,noisy,success_rate,0.7950819672131147,1.0,-0.20491803278688525,-0.23934426229508196,-0.1721311475409836,0.0,True,,mcnemar
r2v@0.6,entropy_router,textworld,noisy,success_rate,0.7950819672131147,0.6442622950819672,0.15081967213114755,0.1245491803278689,0.17868852459016393,0.0,True,,mcnemar
r2v@0.6,oracle_router,textworld,noisy,success_rate,0.7950819672131147,1.0,-0.20491803278688525,-0.23934426229508196,-0.1721311475409836,0.0,True,,mcnemar
r2v@0.7,slm_only,textworld,noisy,success_rate,0.7688524590163934,0.6311475409836066,0.13770491803278684,0.10983606557377049,0.16557377049180327,0.0,True,,mcnemar
r2v@0.7,llm_only,textworld,noisy,success_rate,0.7688524590163934,1.0,-0.23114754098360657,-0.26557377049180325,-0.19672131147540983,0.0,True,,mcnemar
r2v@0.7,entropy_router,textworld,noisy,success_rate,0.7688524590163934,0.6442622950819672,0.12459016393442623,0.1,0.15081967213114755,0.0,True,,mcnemar
r2v@0.7,oracle_router,textworld,noisy,success_rate,0.7688524590163934,1.0,-0.23114754098360657,-0.26557377049180325,-0.19672131147540983,0.0,True,,mcnemar
r2v@0.8,slm_only,textworld,noisy,success_rate,0.740983606557377,0.6311475409836066,0.10983606557377046,0.08524590163934426,0.13442622950819672,7.771561172376096e-16,True,,mcnemar
r2v@0.8,llm_only,textworld,noisy,success_rate,0.740983606557377,1.0,-0.25901639344262295,-0.29508196721311475,-0.22295081967213115,0.0,True,,mcnemar
r2v@0.8,entropy_router,textworld,noisy,success_rate,0.740983606557377,0.6442622950819672,0.09672131147540985,0.07377049180327869,0.12131147540983607,1.1179945857975326e-13,True,,mcnemar
r2v@0.8,oracle_router,textworld,noisy,success_rate,0.740983606557377,1.0,-0.25901639344262295,-0.29508196721311475,-0.22295081967213115,0.0,True,,mcnemar
r2v@0.9,slm_only,textworld,noisy,success_rate,0.7114754098360656,0.6311475409836066,0.08032786885245902,0.05737704918032787,0.10163934426229508,7.025158232920603e-12,True,,mcnemar
r2v@0.9,llm_only,textworld,noisy,success_rate,0.7114754098360656,1.0,-0.2885245901639344,-0.3262295081967213,-0.2540983606557377,0.0,True,,mcnemar
r2v@0.9,entropy_router,textworld,noisy,success_rate,0.7114754098360656,0.6442622950819672,0.06721311475409841,0.047540983606557376,0.08852459016393442,2.478790839255396e-09,True,,mcnemar
r2v@0.9,oracle_router,textworld,noisy,success_rate,0.7114754098360656,1.0,-0.2885245901639344,-0.3262295081967213,-0.2540983606557377,0.0,True,,mcnemar
