method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,671.8429,,0.9678,,0.4323,0.2543
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,561.5311,,0.7237,,0.4323,0.2543
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,494.2487,,0.6189,,0.4323,0.2543
r2v@0.4,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,284.0017,,0.2389,,0.4323,0.2543
r2v@0.5,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,215.6899,,0.1632,,0.4323,0.2543
r2v@0.6,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,176.7782,,0.1297,,0.4323,0.2543
r2v@0.7,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,151.7017,,0.1127,,0.4323,0.2543
r2v@0.8,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,129.3429,,0.0932,,0.4323,0.2543
r2v@0.9,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,62.3487,,0.0198,,0.4323,0.2543
slm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,13.9252,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,696.2605,,1.0000,,,
entropy_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,13.9252,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,13.9252,,0.0000,,,
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,671.8429,,0.9678,,,
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,561.5311,,0.7237,,,
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,494.2487,,0.6189,,,
r2v@0.4,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,284.0017,,0.2389,,,
r2v@0.5,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,215.6899,,0.1632,,,
r2v@0.6,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,176.7782,,0.1297,,,
r2v@0.7,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,151.7017,,0.1127,,,
r2v@0.8,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,129.3429,,0.0932,,,
r2v@0.9,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,62.3487,,0.0198,,,
slm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,13.9252,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,696.2605,,1.0000,,,
entropy_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,13.9252,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,13.9252,,0.0000,,,
