method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,textworld,noisy,success_rate,1.0,0.652,0.348,0.324,0.372,0.0,True,,mcnemar
r2v@0.1,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.1,entropy_router,textworld,noisy,success_rate,1.0,0.652,0.348,0.324,0.372,0.0,True,,mcnemar
r2v@0.1,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.2,slm_only,textworld,noisy,success_rate,1.0,0.652,0.348,0.324,0.372,0.0,True,,mcnemar
r2v@0.2,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.2,entropy_router,textworld,noisy,success_rate,1.0,0.652,0.348,0.324,0.372,0.0,True,,mcnemar
r2v@0.2,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.3,slm_only,textworld,noisy,success_rate,1.0,0.652,0.348,0.324,0.372,0.0,True,,mcnemar
r2v@0.3,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.3,entropy_router,textworld,noisy,success_rate,1.0,0.652,0.348,0.324,0.372,0.0,True,,mcnemar
r2v@0.3,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.4,slm_only,textworld,noisy,success_rate,1.0,0.652,0.348,0.324,0.372,0.0,True,,mcnemar
r2v@0.4,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.4,entropy_router,textworld,noisy,success_rate,1.0,0.652,0.348,0.324,0.372,0.0,True,,mcnemar
r2v@0.4,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.5,slm_only,textworld,noisy,success_rate,1.0,0.652,0.348,0.324,0.372,0.0,True,,mcnemar
r2v@0.5,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.5,entropy_router,textworld,noisy,success_rate,1.0,0.652,0.348,0.324,0.372,0.0,True,,mcnemar
r2v@0.5,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.6,slm_only,textworld,noisy,success_rate,0.9973333333333333,0.652,0.34533333333333327,0.32133333333333336,0.3693666666666667,0.0,True,,mcnemar
r2v@0.6,llm_only,textworld,noisy,success_rate,0.9973333333333333,1.0,-0.002666666666666706,-0.005333333333333333,-0.0006666666666666666,0.125,False,,mcnemar
r2v@0.6,entropy_router,textworld,noisy,success_rate,0.9973333333333333,0.652,0.34533333333333327,0.32133333333333336,0.3693666666666667,0.0,True,,mcnemar
r2v@0.6,oracle_router,textworld,noisy,success_rate,0.9973333333333333,1.0,-0.002666666666666706,-0.005333333333333333,-0.0006666666666666666,0.125,False,,mcnemar
r2v@0.7,slm_only,textworld,noisy,success_rate,0.996,0.652,0.344,0.32066666666666666,0.368,0.0,True,,mcnemar
r2v@0.7,llm_only,textworld,noisy,success_rate,0.996,1.0,-0.0040000000000000036,-0.007349999999999985,-0.0013333333333333333,0.03125,True,,mcnemar
r2v@0.7,entropy_router,textworld,noisy,success_rate,0.996,0.652,0.344,0.32066666666666666,0.368,0.0,True,,mcnemar
r2v@0.7,oracle_router,textworld,noisy,success_rate,0.996,1.0,-0.0040000000000000036,-0.007349999999999985,-0.0013333333333333333,0.03125,True,,mcnemar
r2v@0.8,slm_only,textworld,noisy,success_rate,0.996,0.652,0.344,0.32066666666666666,0.368,0.0,True,,mcnemar
r2v@0.8,llm_only,textworld,noisy,success_rate,0.996,1.0,-0.0040000000000000036,-0.007349999999999985,-0.0013333333333333333,0.03125,True,,mcnemar
r2v@0.8,entropy_router,textworld,noisy,success_rate,0.996,0.652,0.344,0.32066666666666666,0.368,0.0,True,,mcnemar
r2v@0.8,oracle_router,textworld,noisy,success_rate,0.996,1.0,-0.0040000000000000036,-0.007349999999999985,-0.0013333333333333333,0.03125,True,,mcnemar
r2v@0.9,slm_only,textworld,noisy,success_rate,0.996,0.652,0.344,0.32066666666666666,0.368,0.0,True,,mcnemar
r2v@0.9,llm_only,textworld,noisy,success_rate,0.996,1.0,-0.0040000000000000036,-0.007349999999999985,-0.0013333333333333333,0.03125,True,,mcnemar
r2v@0.9,entropy_router,textworld,noisy,success_rate,0.996,0.652,0.344,0.32066666666666666,0.368,0.0,True,,mcnemar
r2v@0.9,oracle_router,textworld,noisy,success_rate,0.996,1.0,-0.0040000000000000036,-0.007349999999999985,-0.0013333333333333333,0.03125,True,,mcnemar
