method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,793.8787,,0.8755,,0.0728,0.1338
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,692.1873,,0.6265,,0.0728,0.1338
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,647.4013,,0.5397,,0.0728,0.1338
r2v@0.4,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,620.6473,,0.4921,,0.0728,0.1338
r2v@0.5,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,579.5200,,0.3968,,0.0728,0.1338
r2v@0.6,textworld,noisy,0,0.9973,"[0.995, 0.999]",0.9973,0.0027,,557.4700,,0.3498,,0.0728,0.1338
r2v@0.7,textworld,noisy,0,0.9960,"[0.993, 0.999]",0.9960,0.0040,,530.0953,,0.3201,,0.0728,0.1338
r2v@0.8,textworld,noisy,0,0.9960,"[0.993, 0.999]",0.9960,0.0040,,504.5500,,0.3005,,0.0728,0.1338
r2v@0.9,textworld,noisy,0,0.9960,"[0.993, 0.999]",0.9960,0.0040,,448.6573,,0.2619,,0.0728,0.1338
slm_only,textworld,noisy,0,0.6520,"[0.627, 0.674]",0.6520,0.3480,,17.0000,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,850.0000,,1.0000,,,
entropy_router,textworld,noisy,0,0.6520,"[0.627, 0.674]",0.6520,0.3480,,17.0000,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,611.6640,,0.3480,,,
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,793.8787,,0.8755,,,
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,692.1873,,0.6265,,,
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,647.4013,,0.5397,,,
r2v@0.4,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,620.6473,,0.4921,,,
r2v@0.5,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,579.5200,,0.3968,,,
r2v@0.6,textworld,noisy,0,0.9973,"[0.995, 0.999]",,,,557.4700,,0.3498,,,
r2v@0.7,textworld,noisy,0,0.9960,"[0.993, 0.999]",,,,530.0953,,0.3201,,,
r2v@0.8,textworld,noisy,0,0.9960,"[0.993, 0.999]",,,,504.5500,,0.3005,,,
r2v@0.9,textworld,noisy,0,0.9960,"[0.993, 0.999]",,,,448.6573,,0.2619,,,
slm_only,textworld,noisy,0,0.6520,"[0.627, 0.674]",,,,17.0000,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,850.0000,,1.0000,,,
entropy_router,textworld,noisy,0,0.6520,"[0.627, 0.674]",,,,17.0000,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,611.6640,,0.3480,,,
