method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,467.2286,,0.4879,,0.0357,0.0945
slm_only,textworld,noisy,0,0.6460,"[0.609, 0.681]",0.6460,0.3540,,12.4248,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,621.2389,,1.0000,,,
entropy_router,textworld,noisy,0,0.6460,"[0.609, 0.681]",0.6460,0.3540,,12.4248,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,449.0885,,0.3540,,,
heuristic_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,620.0826,,0.9951,,,
r2v,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,467.2286,,0.4879,,,
slm_only,textworld,noisy,0,0.6460,"[0.609, 0.681]",,,,12.4248,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,621.2389,,1.0000,,,
entropy_router,textworld,noisy,0,0.6460,"[0.609, 0.681]",,,,12.4248,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,449.0885,,0.3540,,,
heuristic_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,620.0826,,0.9951,,,
