method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,578.9602,,0.8563,,0.0357,0.0945
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,541.8850,,0.7216,,0.0357,0.0945
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,518.0354,,0.6434,,0.0357,0.0945
r2v@0.4,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,491.0782,,0.5585,,0.0357,0.0945
r2v@0.5,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,467.2286,,0.4879,,0.0357,0.0945
r2v@0.6,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,442.8009,,0.4264,,0.0357,0.0945
r2v@0.7,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,418.8068,,0.3761,,0.0357,0.0945
r2v@0.8,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,393.8732,,0.3258,,0.0357,0.0945
r2v@0.9,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,359.6165,,0.2833,,0.0357,0.0945
slm_only,textworld,noisy,0,0.6460,"[0.609, 0.681]",0.6460,0.3540,,12.4248,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,621.2389,,1.0000,,,
entropy_router,textworld,noisy,0,0.6460,"[0.609, 0.681]",0.6460,0.3540,,12.4248,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,449.0885,,0.3540,,,
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,578.9602,,0.8563,,,
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,541.8850,,0.7216,,,
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,518.0354,,0.6434,,,
r2v@0.4,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,491.0782,,0.5585,,,
r2v@0.5,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,467.2286,,0.4879,,,
r2v@0.6,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,442.8009,,0.4264,,,
r2v@0.7,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,418.8068,,0.3761,,,
r2v@0.8,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,393.8732,,0.3258,,,
r2v@0.9,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,359.6165,,0.2833,,,
slm_only,textworld,noisy,0,0.6460,"[0.609, 0.681]",,,,12.4248,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,621.2389,,1.0000,,,
entropy_router,textworld,noisy,0,0.6460,"[0.609, 0.681]",,,,12.4248,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,449.0885,,0.3540,,,
