method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,795.4140,,0.8713,,0.0426,0.1036
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,716.9487,,0.6801,,0.0426,0.1036
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,667.8833,,0.5503,,0.0426,0.1036
r2v@0.4,textworld,noisy,0,0.9987,"[0.997, 1.000]",0.9987,0.0013,,635.5760,,0.4750,,0.0426,0.1036
r2v@0.5,textworld,noisy,0,0.9980,"[0.995, 1.000]",0.9980,0.0020,,604.0853,,0.3976,,0.0426,0.1036
r2v@0.6,textworld,noisy,0,0.9960,"[0.993, 0.999]",0.9960,0.0040,,578.5727,,0.3571,,0.0426,0.1036
r2v@0.7,textworld,noisy,0,0.9960,"[0.993, 0.999]",0.9960,0.0040,,555.5427,,0.3319,,0.0426,0.1036
r2v@0.8,textworld,noisy,0,0.9960,"[0.993, 0.999]",0.9960,0.0040,,525.3913,,0.3073,,0.0426,0.1036
r2v@0.9,textworld,noisy,0,0.9960,"[0.993, 0.999]",0.9960,0.0040,,463.1287,,0.2645,,0.0426,0.1036
slm_only,textworld,noisy,0,0.6520,"[0.627, 0.674]",0.6520,0.3480,,17.0000,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,850.0000,,1.0000,,,
entropy_router,textworld,noisy,0,0.6520,"[0.627, 0.674]",0.6520,0.3480,,17.0000,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,611.6640,,0.3480,,,
r2v@0.1,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,795.4140,,0.8713,,,
r2v@0.2,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,716.9487,,0.6801,,,
r2v@0.3,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,667.8833,,0.5503,,,
r2v@0.4,textworld,noisy,0,0.9987,"[0.997, 1.000]",,,,635.5760,,0.4750,,,
r2v@0.5,textworld,noisy,0,0.9980,"[0.995, 1.000]",,,,604.0853,,0.3976,,,
r2v@0.6,textworld,noisy,0,0.9960,"[0.993, 0.999]",,,,578.5727,,0.3571,,,
r2v@0.7,textworld,noisy,0,0.9960,"[0.993, 0.999]",,,,555.5427,,0.3319,,,
r2v@0.8,textworld,noisy,0,0.9960,"[0.993, 0.999]",,,,525.3913,,0.3073,,,
r2v@0.9,textworld,noisy,0,0.9960,"[0.993, 0.999]",,,,463.1287,,0.2645,,,
slm_only,textworld,noisy,0,0.6520,"[0.627, 0.674]",,,,17.0000,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,850.0000,,1.0000,,,
entropy_router,textworld,noisy,0,0.6520,"[0.627, 0.674]",,,,17.0000,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,611.6640,,0.3480,,,
