benchmark,model,alpha,epsilon,sr,cvar_f,cost,llm_rate
all,all,0.050,0.020,0.9967,0.0033,2669.3460,0.7250
all,all,0.050,0.050,0.9934,0.0066,2524.0918,0.6066
all,all,0.050,0.080,0.9837,0.0163,2393.4399,0.5179
all,all,0.050,0.100,0.9864,0.0136,1802.8065,0.3349
all,all,0.050,0.130,0.9834,0.0166,1643.6600,0.2692
all,all,0.050,0.150,0.9819,0.0181,1831.1235,0.2800
all,all,0.100,0.020,0.9970,0.0030,2471.8518,0.6621
all,all,0.100,0.050,0.9937,0.0063,2617.7717,0.6377
all,all,0.100,0.080,0.9918,0.0082,2034.1066,0.4119
all,all,0.100,0.100,0.9918,0.0082,1769.3113,0.3177
all,all,0.100,0.130,0.9828,0.0172,1772.9360,0.2733
all,all,0.100,0.150,0.9819,0.0181,1793.8261,0.2683
all,all,0.200,0.020,0.9967,0.0033,2617.4906,0.6850
all,all,0.200,0.050,0.9928,0.0072,2319.4517,0.5725
all,all,0.200,0.080,0.9900,0.0100,2206.8937,0.4446
all,all,0.200,0.100,0.9921,0.0079,1784.7717,0.3344
all,all,0.200,0.130,0.9834,0.0166,1631.4840,0.2723
all,all,0.200,0.150,0.9819,0.0181,1792.0063,0.2691
all,all,0.300,0.020,0.9967,0.0033,2515.2446,0.6724
all,all,0.300,0.050,0.9915,0.0085,2699.1721,0.6873
all,all,0.300,0.080,0.9925,0.0075,2332.1751,0.4877
all,all,0.300,0.100,0.9918,0.0082,1746.0540,0.3226
all,all,0.300,0.130,0.9837,0.0163,1688.7838,0.2825
all,all,0.300,0.150,0.9819,0.0181,1802.9248,0.2770
all,all,0.500,0.020,0.9967,0.0033,2824.5275,0.7678
all,all,0.500,0.050,0.9928,0.0072,2543.4876,0.6194
all,all,0.500,0.080,0.9912,0.0088,2308.9031,0.4929
all,all,0.500,0.100,0.9915,0.0085,2009.5474,0.3563
all,all,0.500,0.130,0.9831,0.0169,1938.5329,0.3119
all,all,0.500,0.150,0.9819,0.0181,1779.2829,0.2761
