benchmark,model,features,sr,cvar_f,cost,llm_rate
HumanEval+,Qwen-7B,All features,0.919,0.081,10.89,0.000
HumanEval+,Qwen-7B,Verifier + entropy,0.919,0.081,10.89,0.000
HumanEval+,Qwen-7B,Verifier only,0.919,0.081,10.89,0.000
HumanEval+,Qwen-7B,Entropy only,0.919,0.081,10.89,0.000
HumanEval+,Qwen-7B,Log-prob only,0.919,0.081,10.89,0.000
HumanEval+,Qwen-7B,Step/context only,0.919,0.081,10.89,0.000
HumanEval+,Qwen-7B,w/o verifier,0.919,0.081,10.89,0.000
HumanEval+,Qwen-7B,w/o entropy,0.919,0.081,10.89,0.000
TextWorld,Qwen-7B,All features,0.652,0.348,17.00,0.000
TextWorld,Qwen-7B,Verifier + entropy,0.652,0.348,17.00,0.000
TextWorld,Qwen-7B,Verifier only,0.652,0.348,17.00,0.000
TextWorld,Qwen-7B,Entropy only,0.652,0.348,17.00,0.000
TextWorld,Qwen-7B,Log-prob only,0.652,0.348,17.00,0.000
TextWorld,Qwen-7B,Step/context only,0.652,0.348,17.00,0.000
TextWorld,Qwen-7B,w/o verifier,0.652,0.348,17.00,0.000
TextWorld,Qwen-7B,w/o entropy,0.652,0.348,17.00,0.000
