benchmark,model,variant,method,sr,cvar_f,cost,llm_rate
humaneval,qwen7,all_features,r2v,0.9219,0.0781,13.9820,0.0036
humaneval,qwen7,entropy_only,r2v,0.9835,0.0165,142.8829,0.2043
humaneval,qwen7,logprob_only,r2v,0.9414,0.0586,21.0450,0.0150
humaneval,qwen7,no_entropy,r2v,0.9234,0.0766,13.6877,0.0033
humaneval,qwen7,no_verifier,r2v,0.9249,0.0751,21.4865,0.0150
humaneval,qwen7,step_context_only,r2v,0.9324,0.0676,44.8093,0.0280
humaneval,qwen7,verifier_only,r2v,0.9444,0.0556,33.2583,0.0627
humaneval,qwen7,verifier_plus_entropy,r2v,0.9715,0.0285,53.5646,0.0968
textworld,qwen7,all_features,r2v,0.9993,0.0007,603.7587,0.4325
textworld,qwen7,entropy_only,r2v,0.6547,0.3453,24.2193,0.0198
textworld,qwen7,logprob_only,r2v,1.0000,0.0000,444.1493,0.6277
textworld,qwen7,no_entropy,r2v,0.9960,0.0040,545.0893,0.3445
textworld,qwen7,no_verifier,r2v,0.9960,0.0040,365.7493,0.2172
textworld,qwen7,step_context_only,r2v,0.7093,0.2907,37.6127,0.0123
textworld,qwen7,verifier_only,r2v,1.0000,0.0000,846.6353,0.9937
textworld,qwen7,verifier_plus_entropy,r2v,1.0000,0.0000,846.9620,0.9941
