method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v,swebench,noisy,0,0.2393,"[0.226, 0.253]",0.1390,0.8610,,7.6626,,0.1232,,0.5347,0.4152
slm_only,swebench,noisy,0,0.1345,"[0.124, 0.146]",0.1345,0.8655,,1.1256,,0.0000,,,
llm_only,swebench,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,56.2780,,1.0000,,,
entropy_router,swebench,noisy,0,0.2393,"[0.226, 0.253]",0.1390,0.8610,,7.6626,,0.1232,,,
r2v,swebench,noisy,0,0.1917,"[0.165, 0.215]",,,,4.6413,,0.0661,,,
r2v,swebench,noisy,1,0.1390,"[0.115, 0.161]",,,,1.4552,,0.0050,,,
r2v,swebench,noisy,2,0.4428,"[0.410, 0.475]",,,,20.6267,,0.3660,,,
r2v,swebench,noisy,3,0.1839,"[0.157, 0.210]",,,,3.9271,,0.0555,,,
slm_only,swebench,noisy,0,0.1345,"[0.111, 0.157]",,,,1.1256,,0.0000,,,
slm_only,swebench,noisy,1,0.1345,"[0.111, 0.157]",,,,1.1256,,0.0000,,,
slm_only,swebench,noisy,2,0.1345,"[0.111, 0.157]",,,,1.1256,,0.0000,,,
slm_only,swebench,noisy,3,0.1345,"[0.111, 0.157]",,,,1.1256,,0.0000,,,
llm_only,swebench,noisy,0,1.0000,"[1.000, 1.000]",,,,56.2780,,1.0000,,,
llm_only,swebench,noisy,1,1.0000,"[1.000, 1.000]",,,,56.2780,,1.0000,,,
llm_only,swebench,noisy,2,1.0000,"[1.000, 1.000]",,,,56.2780,,1.0000,,,
llm_only,swebench,noisy,3,1.0000,"[1.000, 1.000]",,,,56.2780,,1.0000,,,
entropy_router,swebench,noisy,0,0.1917,"[0.165, 0.215]",,,,4.6413,,0.0661,,,
entropy_router,swebench,noisy,1,0.1390,"[0.115, 0.161]",,,,1.4552,,0.0050,,,
entropy_router,swebench,noisy,2,0.4428,"[0.410, 0.475]",,,,20.6267,,0.3660,,,
entropy_router,swebench,noisy,3,0.1839,"[0.157, 0.210]",,,,3.9271,,0.0555,,,
